season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,FGM,FGA,two_PM,two_PA,three_PM,three_PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,FG_pct,two_P_pct,three_P_pct,FT_pct,source_FG_pct,source_two_P_pct,source_three_P_pct,source_FT_pct,team_points,opponent_points,source_field_goals_missed,source_two_pointers_missed,source_three_pointers_missed,source_free_throws_missed,source_defensive_fouls,source_offensive_fouls,source_personal_fouls,source_points_in_paint,source_second_chance_points,source_fast_break_points,win_loss,possessions_est,ORtg,opponent_possessions_est,DRtg,Net_Rating
2025-26,2,9,regular_season,1375,2025-10-19,4,5,桃園台啤永豐雲豹,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1375/stats,38,76,29,50,9,26,19,23,6,44,50,27,9,7,17,17,0.5,0.58,0.34615384615384615,0.8260869565217391,0.5,0.58,0.34600000000000003,0.826,104,83,38,21,17,4,17,0,17,56,2,25,W,97.12,107.0840197693575,96.8,85.74380165289257,21.340218116464925
2025-26,2,9,regular_season,1376,2025-10-19,5,7,新北國王,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1376/stats,43,89,28,51,15,38,19,26,21,25,46,28,8,1,19,23,0.48314606741573035,0.5490196078431373,0.39473684210526316,0.7307692307692307,0.483,0.5489999999999999,0.395,0.731,120,123,46,23,23,7,20,3,23,54,23,11,L,98.44,121.90166598943519,98.8,124.49392712550608,-2.5922611360708885
2025-26,2,9,regular_season,1376,2025-10-19,5,8,臺北台新戰神,7,新北國王,away,https://api.tpbl.basketball/api/games/1376/stats,46,89,31,56,15,33,16,20,18,26,44,25,10,5,19,28,0.5168539325842697,0.5535714285714286,0.45454545454545453,0.8,0.517,0.5539999999999999,0.455,0.8,123,120,43,25,18,4,24,4,28,50,23,4,W,98.8,124.49392712550608,98.44,121.90166598943519,2.5922611360708885
2025-26,2,9,regular_season,1377,2025-10-25,4,2,高雄全家海神,7,新北國王,home,https://api.tpbl.basketball/api/games/1377/stats,30,70,20,40,10,30,21,30,15,38,53,7,11,4,22,24,0.42857142857142855,0.5,0.3333333333333333,0.7,0.429,0.5,0.33299999999999996,0.7,91,79,40,20,20,9,20,4,23,38,14,17,W,90.2,100.8869179600887,92.76,85.16601983613626,15.720898123952438
2025-26,2,9,regular_season,1377,2025-10-25,4,7,新北國王,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1377/stats,27,80,23,54,4,26,21,29,17,30,47,10,12,0,17,24,0.3375,0.42592592592592593,0.15384615384615385,0.7241379310344828,0.33799999999999997,0.426,0.154,0.7240000000000001,79,91,53,31,22,8,24,0,23,44,17,4,L,92.76,85.16601983613626,90.2,100.8869179600887,-15.720898123952438
2025-26,2,9,regular_season,1378,2025-10-25,4,6,新北中信特攻,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1378/stats,33,75,23,41,10,34,15,29,10,39,49,22,14,5,18,24,0.44,0.5609756097560976,0.29411764705882354,0.5172413793103449,0.44,0.561,0.294,0.517,91,78,42,18,24,14,23,1,23,44,7,24,W,95.76,95.02923976608187,98.76,78.9793438639125,16.049895902169368
2025-26,2,9,regular_season,1378,2025-10-25,4,8,臺北台新戰神,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1378/stats,23,78,12,38,11,40,21,29,19,38,57,9,12,1,27,25,0.2948717948717949,0.3157894736842105,0.275,0.7241379310344828,0.295,0.316,0.275,0.7240000000000001,78,91,55,26,29,8,22,3,25,18,5,3,L,98.76,78.9793438639125,95.76,95.02923976608187,-16.049895902169368
2025-26,2,9,regular_season,1379,2025-10-26,4,2,高雄全家海神,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1379/stats,30,81,20,46,10,35,12,19,15,28,43,15,9,2,12,21,0.37037037037037035,0.43478260869565216,0.2857142857142857,0.631578947368421,0.37,0.435,0.28600000000000003,0.632,82,101,51,26,25,7,21,0,20,36,5,6,L,86.36,94.95136637332098,88.32,114.35688405797103,-19.40551768465005
2025-26,2,9,regular_season,1379,2025-10-26,4,4,新竹御嵿攻城獅,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1379/stats,37,76,26,49,11,27,16,28,14,42,56,24,7,5,14,21,0.4868421052631579,0.5306122448979592,0.4074074074074074,0.5714285714285714,0.48700000000000004,0.531,0.40700000000000003,0.5710000000000001,101,82,39,23,16,12,17,4,20,48,13,6,W,88.32,114.35688405797103,86.36,94.95136637332098,19.40551768465005
2025-26,2,9,regular_season,1380,2025-10-26,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1380/stats,40,74,31,45,9,29,15,20,8,31,39,21,16,4,17,21,0.5405405405405406,0.6888888888888889,0.3103448275862069,0.75,0.541,0.6890000000000001,0.31,0.75,104,80,34,14,20,5,21,0,21,54,10,10,W,91.8,113.28976034858388,91.32,87.60402978537013,25.685730563213752
2025-26,2,9,regular_season,1380,2025-10-26,4,6,新北中信特攻,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1380/stats,27,70,20,31,7,39,19,28,16,28,44,21,14,1,25,19,0.38571428571428573,0.6451612903225806,0.1794871794871795,0.6785714285714286,0.386,0.645,0.179,0.679,80,104,43,11,32,9,17,2,19,38,11,13,L,91.32,87.60402978537013,91.8,113.28976034858388,-25.685730563213752
2025-26,2,9,regular_season,1381,2025-10-29,4,2,高雄全家海神,3,福爾摩沙夢想家,home,https://api.tpbl.basketball/api/games/1381/stats,27,71,15,36,12,35,20,30,9,27,36,18,9,1,19,30,0.38028169014084506,0.4166666666666667,0.34285714285714286,0.6666666666666666,0.38,0.41700000000000004,0.34299999999999997,0.667,86,99,44,21,23,10,29,1,28,26,6,8,L,94.2,91.29511677282377,92.28,107.28218465539662,-15.987067882572845
2025-26,2,9,regular_season,1381,2025-10-29,4,3,福爾摩沙夢想家,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1381/stats,31,65,21,39,10,26,27,37,9,38,47,19,12,2,20,25,0.47692307692307695,0.5384615384615384,0.38461538461538464,0.7297297297297297,0.47700000000000004,0.5379999999999999,0.385,0.73,99,86,34,18,16,10,22,3,22,34,10,22,W,92.28,107.28218465539662,94.2,91.29511677282377,15.987067882572845
2025-26,2,9,regular_season,1382,2025-11-01,4,2,高雄全家海神,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1382/stats,34,72,19,33,15,39,22,29,12,30,42,18,4,3,19,21,0.4722222222222222,0.5757575757575758,0.38461538461538464,0.7586206896551724,0.47200000000000003,0.5760000000000001,0.385,0.759,105,110,38,14,24,7,21,0,21,32,17,6,L,91.76,114.42894507410635,92.44,118.99610558199913,-4.56716050789278
2025-26,2,9,regular_season,1382,2025-11-01,4,8,臺北台新戰神,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1382/stats,39,88,26,49,13,39,19,26,20,30,50,20,15,1,13,23,0.4431818181818182,0.5306122448979592,0.3333333333333333,0.7307692307692307,0.44299999999999995,0.531,0.33299999999999996,0.731,110,105,49,23,26,7,21,2,22,40,21,18,W,92.44,118.99610558199913,91.76,114.42894507410635,4.56716050789278
2025-26,2,9,regular_season,1383,2025-11-01,4,3,福爾摩沙夢想家,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1383/stats,31,77,19,38,12,39,17,22,14,38,52,18,7,3,21,27,0.4025974025974026,0.5,0.3076923076923077,0.7727272727272727,0.40299999999999997,0.5,0.308,0.773,91,99,46,19,27,5,25,2,27,32,11,8,L,93.68,97.1391972672929,93.2,106.22317596566523,-9.083978698372334
2025-26,2,9,regular_season,1383,2025-11-01,4,6,新北中信特攻,3,福爾摩沙夢想家,home,https://api.tpbl.basketball/api/games/1383/stats,34,82,25,48,9,34,22,30,13,34,47,20,10,0,11,24,0.4146341463414634,0.5208333333333334,0.2647058823529412,0.7333333333333333,0.415,0.521,0.265,0.733,99,91,48,23,25,8,22,2,24,44,19,13,W,93.2,106.22317596566523,93.68,97.1391972672929,9.083978698372334
2025-26,2,9,regular_season,1384,2025-11-02,4,2,高雄全家海神,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1384/stats,22,75,12,42,10,33,24,29,14,25,39,16,8,2,18,24,0.29333333333333333,0.2857142857142857,0.30303030303030304,0.8275862068965517,0.293,0.28600000000000003,0.303,0.828,78,100,53,30,23,5,19,5,23,22,19,7,L,91.76,85.00435919790758,88.24,113.32728921124207,-28.3229300133345
2025-26,2,9,regular_season,1384,2025-11-02,4,5,桃園台啤永豐雲豹,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1384/stats,40,71,33,49,7,22,13,21,9,40,49,24,9,3,17,21,0.5633802816901409,0.673469387755102,0.3181818181818182,0.6190476190476191,0.563,0.6729999999999999,0.318,0.619,100,78,31,16,15,8,20,1,20,60,13,15,W,88.24,113.32728921124207,91.76,85.00435919790758,28.3229300133345
2025-26,2,9,regular_season,1385,2025-11-02,4,4,新竹御嵿攻城獅,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1385/stats,34,69,29,46,5,23,18,24,15,27,42,18,9,2,21,16,0.4927536231884058,0.6304347826086957,0.21739130434782608,0.75,0.493,0.63,0.217,0.75,91,94,35,17,18,6,12,4,15,58,17,9,L,85.56,106.35811126694716,86.4,108.79629629629629,-2.4381850293491283
2025-26,2,9,regular_season,1385,2025-11-02,4,6,新北中信特攻,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1385/stats,40,85,31,55,9,30,5,10,20,23,43,23,12,3,17,18,0.47058823529411764,0.5636363636363636,0.3,0.5,0.47100000000000003,0.564,0.3,0.5,94,91,45,24,21,5,18,0,18,58,15,11,W,86.4,108.79629629629629,85.56,106.35811126694716,2.4381850293491283
2025-26,2,9,regular_season,1386,2025-11-05,4,3,福爾摩沙夢想家,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1386/stats,29,80,17,49,12,31,12,17,11,36,47,16,8,3,12,17,0.3625,0.3469387755102041,0.3870967741935484,0.7058823529411765,0.363,0.34700000000000003,0.387,0.706,82,81,51,32,19,5,16,1,16,34,12,11,W,88.48,92.6763110307414,87.48,92.5925925925926,0.0837184381488072
2025-26,2,9,regular_season,1386,2025-11-05,4,4,新竹御嵿攻城獅,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1386/stats,31,80,21,43,10,37,9,17,16,43,59,19,8,4,16,21,0.3875,0.4883720930232558,0.2702702702702703,0.5294117647058824,0.38799999999999996,0.488,0.27,0.529,81,82,49,22,27,8,21,0,21,38,8,12,L,87.48,92.5925925925926,88.48,92.6763110307414,-0.0837184381488072
2025-26,2,9,regular_season,1387,2025-11-07,4,3,福爾摩沙夢想家,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1387/stats,33,73,21,37,12,36,14,21,13,42,55,15,6,6,20,18,0.4520547945205479,0.5675675675675675,0.3333333333333333,0.6666666666666666,0.452,0.568,0.33299999999999996,0.667,92,87,40,16,24,7,18,0,18,32,8,6,W,89.24,103.09278350515464,89.44,97.27191413237925,5.820869372775391
2025-26,2,9,regular_season,1387,2025-11-07,4,6,新北中信特攻,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1387/stats,29,82,18,40,11,42,18,26,17,31,48,20,14,1,13,20,0.35365853658536583,0.45,0.2619047619047619,0.6923076923076923,0.354,0.45,0.262,0.6920000000000001,87,92,53,22,31,8,19,1,20,32,14,12,L,89.44,97.27191413237925,89.24,103.09278350515464,-5.820869372775391
2025-26,2,9,regular_season,1388,2025-11-08,4,4,新竹御嵿攻城獅,7,新北國王,away,https://api.tpbl.basketball/api/games/1388/stats,40,88,31,53,9,35,19,20,15,33,48,24,16,4,16,25,0.45454545454545453,0.5849056603773585,0.2571428571428571,0.95,0.455,0.585,0.257,0.95,108,89,48,22,26,1,24,1,25,58,12,27,W,97.8,110.42944785276075,96.32,92.40033222591363,18.029115626847116
2025-26,2,9,regular_season,1388,2025-11-08,4,7,新北國王,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1388/stats,34,80,27,52,7,28,14,28,19,29,48,17,7,1,23,21,0.425,0.5192307692307693,0.25,0.5,0.425,0.519,0.25,0.5,89,108,46,25,21,14,20,1,20,38,18,6,L,96.32,92.40033222591363,97.8,110.42944785276075,-18.029115626847116
2025-26,2,9,regular_season,1389,2025-11-08,4,5,桃園台啤永豐雲豹,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1389/stats,43,86,30,54,13,32,23,30,17,36,53,20,12,4,15,20,0.5,0.5555555555555556,0.40625,0.7666666666666667,0.5,0.556,0.406,0.767,122,102,43,24,19,7,17,3,20,52,18,14,W,97.2,125.51440329218107,95.92,106.33861551292743,19.17578777925364
2025-26,2,9,regular_season,1389,2025-11-08,4,8,臺北台新戰神,5,桃園台啤永豐雲豹,away,https://api.tpbl.basketball/api/games/1389/stats,39,91,28,57,11,34,13,18,20,27,47,16,10,5,17,22,0.42857142857142855,0.49122807017543857,0.3235294117647059,0.7222222222222222,0.429,0.491,0.324,0.722,102,122,52,29,23,5,21,1,20,50,22,4,L,95.92,106.33861551292743,97.2,125.51440329218107,-19.17578777925364
2025-26,2,9,regular_season,1390,2025-11-09,4,2,高雄全家海神,7,新北國王,away,https://api.tpbl.basketball/api/games/1390/stats,30,71,20,38,10,33,24,30,7,33,40,20,9,1,17,23,0.4225352112676056,0.5263157894736842,0.30303030303030304,0.8,0.423,0.526,0.303,0.8,94,111,41,18,23,6,22,1,21,38,5,13,L,94.2,99.78768577494692,94.76,117.13803292528492,-17.350347150337996
