season,season_id,division_id,competition_phase,game_id,gohoops_game_id,game_date,game_datetime_local,timezone,home_team_id,away_team_id,home_team,away_team,home_points,away_points,status,venue,periods
2025-26,2,9,regular_season,1431,8122,2026-01-17,2026-01-17 14:30:00,Asia/Taipei,3,7,福爾摩沙夢想家,新北國王,116,96,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1432,8123,2026-01-17,2026-01-17 17:00:00,Asia/Taipei,8,6,臺北台新戰神,新北中信特攻,79,95,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1433,8124,2026-01-18,2026-01-18 14:30:00,Asia/Taipei,3,5,福爾摩沙夢想家,桃園台啤永豐雲豹,91,98,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1434,8125,2026-01-18,2026-01-18 17:00:00,Asia/Taipei,8,4,臺北台新戰神,新竹御嵿攻城獅,98,101,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1435,8126,2026-01-24,2026-01-24 14:30:00,Asia/Taipei,6,2,新北中信特攻,高雄全家海神,133,91,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1436,8127,2026-01-24,2026-01-24 17:00:00,Asia/Taipei,4,3,新竹御嵿攻城獅,福爾摩沙夢想家,95,91,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1437,8128,2026-01-25,2026-01-25 14:30:00,Asia/Taipei,6,8,新北中信特攻,臺北台新戰神,104,112,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1438,8129,2026-01-25,2026-01-25 17:00:00,Asia/Taipei,4,7,新竹御嵿攻城獅,新北國王,87,94,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1439,8130,2026-01-31,2026-01-31 14:30:00,Asia/Taipei,3,7,福爾摩沙夢想家,新北國王,97,114,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1440,8131,2026-01-31,2026-01-31 17:00:00,Asia/Taipei,5,4,桃園台啤永豐雲豹,新竹御嵿攻城獅,92,88,COMPLETED,中壢國民運動中心,4
