game_id,team_id,player_id,source_seconds,rotation_seconds,residual_seconds,within_one_second
1382,2,118,1826.0,1826.0,0.0,True
1382,2,121,389.0,389.0,0.0,True
1382,2,122,795.0,795.0,0.0,True
1382,2,123,682.0,682.0,0.0,True
1382,2,10894,2019.0,2019.0,0.0,True
1382,8,10870,1937.0,1937.0,0.0,True
1382,8,10863,279.0,279.0,0.0,True
1382,8,4,1248.0,1248.0,0.0,True
1382,8,10869,1941.0,1941.0,0.0,True
1382,8,5,868.0,868.0,0.0,True
1382,8,10865,2224.0,2224.0,0.0,True
1382,8,14,1424.0,1424.0,0.0,True
1382,8,10868,1882.0,1882.0,0.0,True
1382,8,10,2403.0,2403.0,0.0,True
1382,8,13,194.0,194.0,0.0,True
1383,6,10877,2560.0,2560.0,0.0,True
1383,6,39,1098.0,1098.0,0.0,True
1383,6,40,2178.0,2178.0,0.0,True
1383,6,10880,1786.0,1786.0,0.0,True
1383,6,113,311.0,311.0,0.0,True
1383,6,43,677.0,677.0,0.0,True
1383,6,10881,2005.0,2005.0,0.0,True
1383,6,8889,1935.0,1935.0,0.0,True
1383,6,44,304.0,304.0,0.0,True
1383,6,10879,1346.0,1346.0,0.0,True
1383,6,47,60.0,60.0,0.0,True
1383,6,48,140.0,140.0,0.0,True
1383,3,77,1345.0,1345.0,0.0,True
1383,3,79,1905.0,1905.0,0.0,True
1383,3,86,951.0,951.0,0.0,True
1383,3,10889,1961.0,2113.0,152.0,False
1383,3,103,2148.0,2148.0,0.0,True
1383,3,95,247.0,247.0,0.0,True
1383,3,99,178.0,178.0,0.0,True
1383,3,106,1701.0,1701.0,0.0,True
1383,3,107,1591.0,1591.0,0.0,True
1383,3,89,1929.0,1929.0,0.0,True
1383,3,101,292.0,292.0,0.0,True
1384,2,108,600.0,600.0,0.0,True
1384,2,12668,1706.0,1706.0,0.0,True
1384,2,109,1284.0,1284.0,0.0,True
1384,2,110,2026.0,2026.0,0.0,True
1384,2,45,655.0,655.0,0.0,True
