game_id,team_id,OREB,DREB,REB,TOV,PF,time_on_court_seconds,plus_minus,OREB_team,DREB_team,REB_team,TOV_team,PF_team,team_points,opponent_points,periods,plus_minus_residual,minutes_residual_seconds,OREB_team_credit_difference,DREB_team_credit_difference,REB_team_credit_difference,TOV_team_credit_difference,PF_team_credit_difference
1425,2,10.0,28.0,38.0,6.0,30.0,14400.0,25.0,12,31,43,8,30,108,103,4,0.0,0.0,2.0,3.0,5.0,2.0,0.0
1425,8,12.0,40.0,52.0,18.0,25.0,14400.0,-25.0,14,40,54,19,25,103,108,4,0.0,0.0,2.0,0.0,2.0,1.0,0.0
1426,5,7.0,36.0,43.0,13.0,23.0,14400.0,115.0,10,43,53,14,23,110,87,4,0.0,0.0,3.0,7.0,10.0,1.0,0.0
1426,7,17.0,32.0,49.0,17.0,22.0,14400.0,-115.0,18,33,51,18,22,87,110,4,0.0,0.0,1.0,1.0,2.0,1.0,0.0
1427,2,14.0,25.0,39.0,17.0,20.0,14400.0,15.0,15,28,43,17,20,114,111,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1427,6,19.0,24.0,43.0,14.0,19.0,14400.0,-15.0,22,28,50,16,19,111,114,4,0.0,0.0,3.0,4.0,7.0,2.0,0.0
1428,3,11.0,43.0,54.0,19.0,24.0,14400.0,95.0,13,44,57,19,24,110,91,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1428,8,12.0,23.0,35.0,12.0,26.0,14400.0,-95.0,13,24,37,14,26,91,110,4,0.0,0.0,1.0,1.0,2.0,2.0,0.0
1429,2,17.0,22.0,39.0,14.0,16.0,14400.0,-80.0,18,26,44,14,16,79,95,4,0.0,0.0,1.0,4.0,5.0,0.0,0.0
1429,4,15.0,33.0,48.0,17.0,17.0,14400.0,80.0,16,36,52,19,17,95,79,4,0.0,0.0,1.0,3.0,4.0,2.0,0.0
1430,5,25.0,21.0,46.0,10.0,16.0,14400.0,-30.0,29,22,51,11,16,108,114,4,0.0,0.0,4.0,1.0,5.0,1.0,0.0
1430,8,10.0,30.0,40.0,17.0,21.0,14400.0,30.0,12,31,43,17,21,114,108,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1431,3,11.0,42.0,53.0,12.0,16.0,14400.0,100.0,13,42,55,12,16,116,96,4,0.0,0.0,2.0,0.0,2.0,0.0,0.0
1431,7,9.0,28.0,37.0,13.0,23.0,14400.0,-100.0,11,30,41,15,23,96,116,4,0.0,0.0,2.0,2.0,4.0,2.0,0.0
1432,6,10.0,40.0,50.0,28.0,18.0,14400.0,80.0,12,42,54,29,18,95,79,4,0.0,0.0,2.0,2.0,4.0,1.0,0.0
